Category,Symbol,Name,Current Price,Currency,Price Change %,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,Market Status,Type
Commodities,GOLD,Gold,4189.14,USD,-1.01%,1.34%,5.27%,17.66%,24.61%,59.66%,58.55%,127.70%,N/A,TRADEABLE,COMMODITIES
Commodities,OIL_CRUDE,Crude Oil,58.902,USD,-0.79%,1.56%,-3.77%,-7.39%,-6.08%,-18.01%,-13.37%,28.71%,N/A,TRADEABLE,COMMODITIES
Commodities,SILVER,Silver,57.987,USD,0.02%,12.98%,19.45%,41.22%,62.37%,100.09%,89.57%,141.35%,N/A,TRADEABLE,COMMODITIES
Commodities,NATURALGAS,Natural Gas,4.7296,USD,-0.96%,6.49%,13.13%,48.73%,27.97%,35.91%,50.05%,88.13%,N/A,TRADEABLE,COMMODITIES
Commodities,OIL_BRENT,Brent Oil,62.737,USD,-0.79%,1.35%,-3.60%,-6.77%,-3.58%,-17.26%,-12.67%,29.38%,N/A,TRADEABLE,COMMODITIES
Commodities,COPPER,Copper,5.24293,USD,-0.49%,2.79%,1.65%,13.45%,5.89%,29.63%,26.31%,51.12%,N/A,TRADEABLE,COMMODITIES
Commodities,GASOIL,London Gas Oil,666.8,USD,-0.99%,-1.04%,-6.19%,-4.00%,8.12%,-5.31%,0.91%,68.17%,N/A,TRADEABLE,COMMODITIES
Commodities,PLATINUM,Platinum,1633.75,USD,-1.69%,5.92%,3.98%,15.05%,43.93%,79.80%,72.49%,58.66%,N/A,TRADEABLE,COMMODITIES
Commodities,PALLADIUM,Palladium,1460.5,USD,2.31%,4.83%,2.50%,28.27%,45.54%,60.32%,48.15%,-36.60%,N/A,TRADEABLE,COMMODITIES
Commodities,GASOLINE,Gasoline,1.8413,USD,-1.52%,2.29%,-3.27%,-7.74%,-10.38%,-9.06%,-4.03%,45.94%,N/A,TRADEABLE,COMMODITIES
Commodities,HEATINGOIL,Heating Oil,2.3248,USD,-0.63%,0.05%,-3.52%,-0.61%,11.31%,0.28%,6.82%,66.88%,N/A,TRADEABLE,COMMODITIES
Commodities,SOYBEANOIL,Soybean Oil,52.69,USD,0.59%,4.13%,4.92%,1.42%,11.89%,30.74%,27.30%,36.22%,N/A,TRADEABLE,COMMODITIES
Commodities,MZN3,Zinc,3053.0,USD,-1.22%,1.86%,-1.79%,6.53%,13.70%,4.46%,-0.78%,N/A,N/A,TRADEABLE,COMMODITIES
Commodities,WHEAT,Wheat US,541.1,USD,1.12%,0.56%,-2.51%,3.40%,-2.31%,-1.56%,-1.21%,-5.36%,N/A,TRADEABLE,COMMODITIES
Commodities,CORN,Corn,449.95,USD,1.08%,2.76%,1.31%,7.25%,4.02%,-2.72%,3.85%,6.50%,N/A,TRADEABLE,COMMODITIES
Commodities,ALUMINUM,Aluminium Spot,2842.3,USD,-1.12%,1.88%,-1.84%,9.26%,16.21%,13.61%,10.35%,N/A,N/A,TRADEABLE,COMMODITIES
Commodities,MCU3,Copper UK,11143.9,USD,-0.75%,3.01%,3.09%,11.83%,14.96%,26.77%,23.92%,N/A,N/A,TRADEABLE,COMMODITIES
Commodities,LEAD,Lead,1982.6,USD,-0.38%,0.62%,-1.79%,-0.11%,0.61%,3.01%,-3.86%,N/A,N/A,TRADEABLE,COMMODITIES
Commodities,USCOTTON,Cotton,0.64645,USD,-0.06%,0.67%,-3.03%,-3.59%,-3.79%,-6.31%,-9.67%,-7.03%,N/A,TRADEABLE,COMMODITIES
Commodities,SOYBEANMEAL,Soybean Meal,312.95,USD,-0.64%,-2.54%,-2.81%,10.32%,4.78%,-2.05%,8.49%,-20.33%,N/A,TRADEABLE,COMMODITIES
Commodities,NICKEL,Nickel,14720.0,USD,-0.84%,-1.00%,-2.44%,-3.45%,-4.84%,-2.06%,-6.36%,N/A,N/A,TRADEABLE,COMMODITIES
Commodities,SOYBEAN,Soybean,1130.4,USD,-0.16%,0.27%,-0.36%,8.59%,8.91%,11.64%,14.46%,-3.24%,N/A,TRADEABLE,COMMODITIES
Commodities,OATS,Oats,315.76,USD,0.23%,0.22%,0.96%,-4.14%,-16.25%,-5.28%,-13.92%,3.95%,N/A,TRADEABLE,COMMODITIES
Commodities,LEANHOGS,Lean Hogs,80.29,USD,-0.17%,1.13%,-0.94%,-10.58%,-23.28%,-3.65%,-8.02%,21.60%,N/A,TRADEABLE,COMMODITIES
Commodities,LIVECATTLE,Live Cattle,221.05,USD,2.27%,6.85%,-4.17%,-7.64%,2.11%,13.13%,17.40%,101.69%,N/A,TRADEABLE,COMMODITIES
Commodities,LUMBER,Lumber,547.18,USD,-0.06%,-0.84%,-6.71%,-4.45%,-11.14%,-3.46%,-9.57%,N/A,N/A,TRADEABLE,COMMODITIES
Commodities,RR,Rough Rice,10.331,USD,-0.58%,-0.27%,-2.54%,-14.87%,-24.71%,-26.85%,-32.77%,N/A,N/A,TRADEABLE,COMMODITIES
Commodities,FEEDERCATTLE,Feeder Cattle,326.27,USD,2.70%,7.57%,-2.74%,-9.65%,5.60%,22.56%,27.36%,133.38%,N/A,TRADEABLE,COMMODITIES
Commodities,USCOCOA,Cocoa US,5459.8,USD,-1.52%,6.84%,-17.62%,-28.61%,-42.42%,-50.00%,-41.67%,97.32%,N/A,CLOSED,COMMODITIES
Commodities,COFFEEARABICA,Coffee US,3.69919,USD,-2.29%,-2.73%,-5.48%,-0.27%,3.95%,14.74%,25.50%,216.31%,N/A,CLOSED,COMMODITIES
Commodities,LRC,Coffee UK,4263.8,USD,-2.91%,-4.68%,-8.92%,-3.73%,-4.51%,-14.95%,-11.24%,216.78%,N/A,CLOSED,COMMODITIES
Commodities,UKSUGAR,Sugar UK,427.7,USD,1.78%,0.33%,2.69%,-9.04%,-7.66%,-16.64%,-21.85%,6.16%,N/A,CLOSED,COMMODITIES
Commodities,SB,Sugar US,0.1473,USD,1.38%,0.20%,1.66%,-10.73%,-12.32%,-21.57%,-28.25%,N/A,N/A,CLOSED,COMMODITIES
Forex,EURUSD,EUR/USD,1.16084,USD,-0.01%,0.38%,0.70%,-0.45%,1.35%,12.15%,10.55%,-4.42%,N/A,TRADEABLE,CURRENCIES
Forex,USDJPY,USD/JPY,155.991,JPY,0.34%,-0.13%,1.16%,5.42%,8.67%,-1.08%,4.33%,50.24%,N/A,TRADEABLE,CURRENCIES
Forex,GBPUSD,GBP/USD,1.31972,USD,-0.10%,0.30%,0.49%,-1.81%,-2.81%,5.42%,4.26%,-1.89%,N/A,TRADEABLE,CURRENCIES
Forex,GBPJPY,GBP/JPY,205.861,JPY,0.22%,0.17%,1.66%,3.51%,5.61%,4.28%,8.78%,47.40%,N/A,TRADEABLE,CURRENCIES
Forex,AUDUSD,AUD/USD,0.65563,USD,0.21%,1.33%,0.17%,0.18%,0.71%,5.86%,1.26%,-11.83%,N/A,TRADEABLE,CURRENCIES
Forex,USDMXN,USD/MXN,18.29757,MXN,-0.03%,-0.48%,-1.40%,-2.19%,-4.46%,-12.18%,-10.34%,-8.07%,N/A,TRADEABLE,CURRENCIES
Forex,USDCHF,USD/CHF,0.80408,CHF,-0.08%,-0.47%,-0.09%,0.04%,-1.85%,-11.41%,-9.27%,-9.74%,N/A,TRADEABLE,CURRENCIES
Forex,EURJPY,EUR/JPY,181.079,JPY,0.33%,0.25%,1.88%,4.95%,10.14%,10.94%,15.35%,43.60%,N/A,TRADEABLE,CURRENCIES
Forex,AUDJPY,AUD/JPY,102.283,JPY,0.55%,1.21%,1.34%,5.61%,9.46%,4.72%,5.66%,32.48%,N/A,TRADEABLE,CURRENCIES
Forex,USDCAD,USD/CAD,1.39804,CAD,-0.12%,-0.87%,-0.25%,1.37%,2.30%,-2.74%,-0.46%,8.65%,N/A,TRADEABLE,CURRENCIES
Forex,NZDUSD,NZD/USD,0.57271,USD,-0.01%,1.83%,0.10%,-2.60%,-5.19%,2.33%,-2.65%,-18.99%,N/A,TRADEABLE,CURRENCIES
Forex,EURGBP,EUR/GBP,0.87954,GBP,0.12%,0.08%,0.22%,1.39%,4.29%,6.39%,6.03%,-2.58%,N/A,TRADEABLE,CURRENCIES
Forex,EURNZD,EUR/NZD,2.02675,NZD,0.01%,-1.42%,0.61%,2.22%,6.91%,9.62%,13.58%,18.01%,N/A,TRADEABLE,CURRENCIES
Forex,CADJPY,CAD/JPY,111.571,JPY,0.46%,0.74%,1.42%,3.99%,6.23%,1.70%,4.82%,38.28%,N/A,TRADEABLE,CURRENCIES
Forex,NZDJPY,NZD/JPY,89.324,JPY,0.33%,1.68%,1.25%,2.66%,3.01%,1.21%,1.55%,21.68%,N/A,TRADEABLE,CURRENCIES
Forex,EURCHF,EUR/CHF,0.93335,CHF,-0.09%,-0.10%,0.60%,-0.42%,-0.54%,-0.65%,0.30%,-13.73%,N/A,TRADEABLE,CURRENCIES
Forex,CHFJPY,CHF/JPY,193.991,JPY,0.43%,0.35%,1.28%,5.39%,10.74%,11.67%,15.01%,66.46%,N/A,TRADEABLE,CURRENCIES
Forex,NOKDKK,NOK/DKK,0.6342,DKK,-0.04%,0.50%,-0.85%,-0.52%,-1.88%,0.35%,-0.87%,-9.18%,N/A,TRADEABLE,CURRENCIES
Forex,GBPCHF,GBP/CHF,1.06109,CHF,-0.19%,-0.18%,0.38%,-1.78%,-4.62%,-6.62%,-5.41%,-11.45%,N/A,TRADEABLE,CURRENCIES
Forex,EURCAD,EUR/CAD,1.62312,CAD,-0.11%,-0.48%,0.48%,0.94%,3.70%,9.11%,10.05%,3.86%,N/A,TRADEABLE,CURRENCIES
Indices,US100,US Tech 100,25527.6,USD,0.71%,2.04%,-1.60%,9.12%,18.67%,21.29%,20.65%,104.41%,441.33%,TRADEABLE,INDICES
Indices,DE40,Germany 40,23732.0,EUR,0.75%,0.71%,-1.14%,0.59%,-2.00%,19.58%,19.11%,79.07%,N/A,TRADEABLE,INDICES
Indices,US30,US Wall Street 30,47432.6,USD,0.34%,0.60%,-0.51%,5.02%,11.92%,11.59%,5.93%,58.20%,165.87%,TRADEABLE,INDICES
Indices,US500,US 500,6827.3,USD,0.19%,0.87%,-0.50%,5.94%,14.96%,16.04%,12.87%,85.96%,226.45%,TRADEABLE,INDICES
Indices,J225,Japan 225,49501.3,JPY,0.10%,0.99%,-5.51%,17.71%,31.83%,25.26%,28.03%,85.33%,150.87%,TRADEABLE,INDICES
Indices,HK50,Hong Kong 50,25924.9,HKD,-0.81%,-0.22%,-0.34%,2.12%,8.52%,29.72%,32.23%,-2.95%,N/A,TRADEABLE,INDICES
Indices,RTY,US Russel 2000,2477.5,USD,0.17%,0.42%,-0.43%,5.23%,17.93%,10.45%,1.57%,33.81%,N/A,TRADEABLE,INDICES
Indices,UK100,UK 100,9698.3,GBP,0.08%,0.66%,-0.44%,5.63%,10.33%,18.98%,16.51%,49.69%,N/A,TRADEABLE,INDICES
Indices,FR40,France 40,8078.6,EUR,-0.08%,0.28%,-0.38%,4.59%,4.10%,9.91%,11.64%,45.47%,69.53%,TRADEABLE,INDICES
Indices,VIX,Volatility Index,18.8,USD,-1.05%,-4.13%,-2.34%,2.62%,-7.80%,7.61%,23.04%,-15.81%,N/A,TRADEABLE,INDICES
Indices,CN50,China A50,15148.0,USD,-0.62%,0.70%,-1.09%,2.37%,12.42%,15.59%,13.83%,-11.01%,N/A,TRADEABLE,INDICES
Indices,NYFANG,US Fang,16667.4,USD,0.48%,1.30%,-1.74%,8.01%,18.96%,26.86%,32.75%,N/A,N/A,TRADEABLE,INDICES
Indices,SW20,Switzerland 20,12897.0,CHF,0.66%,0.64%,5.20%,5.52%,4.90%,N/A,8.92%,24.97%,N/A,TRADEABLE,INDICES
Indices,AU200,Australia 200,8582.0,AUD,0.08%,-0.55%,-2.84%,-2.19%,0.45%,5.07%,0.90%,29.53%,64.43%,TRADEABLE,INDICES
Indices,EU50,EU Stocks 50,5695.8,EUR,0.58%,1.79%,0.40%,6.86%,5.75%,16.96%,17.30%,62.76%,69.08%,TRADEABLE,INDICES
Indices,DXY,US Dollar Index,99.077,USD,0.04%,-0.37%,-0.35%,1.39%,0.79%,-9.11%,-6.59%,9.31%,N/A,TRADEABLE,INDICES
Indices,SG25,Singapore 25,443.28,SGD,0.57%,0.38%,-1.29%,-0.07%,7.34%,19.14%,18.77%,37.84%,N/A,TRADEABLE,INDICES
Indices,NL25,Netherlands 25,946.99,EUR,-0.12%,1.26%,-2.54%,6.32%,2.71%,7.24%,6.42%,55.54%,N/A,TRADEABLE,INDICES
Indices,IT40,Italy 40,43405.5,EUR,0.52%,1.23%,0.44%,3.89%,8.00%,26.88%,29.46%,97.20%,N/A,TRADEABLE,INDICES
Indices,SP35,Spain 35,16465.1,EUR,0.13%,1.89%,2.67%,11.71%,16.16%,41.89%,40.16%,100.97%,N/A,TRADEABLE,INDICES
Cryptocurrencies,BTCUSD,Bitcoin/USD,92207.35,USD,6.69%,5.62%,-16.57%,-17.48%,-9.19%,-2.28%,-3.79%,374.58%,24554.34%,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,XRPUSD,Ripple/USD,2.17214,USD,7.42%,-1.09%,-13.81%,-23.46%,3.94%,-6.44%,-20.10%,245.84%,39610.05%,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,ETHUSD,Ethereum/USD,3023.38,USD,8.31%,2.22%,-22.58%,-32.07%,25.21%,-9.81%,-17.03%,391.38%,355597.65%,TRADEABLE,CRYPTOCURRENCIES
Cryptocurrencies,SOLUSD,Solana/USD,139.5777,USD,10.96%,0.75%,-25.45%,-33.61%,-3.08%,-27.82%,N/A,N/A,N/A,TRADEABLE,CRYPTOCURRENCIES
